zFish(00:00:00): 学员录制了OK，然后现在应该开始录制了啊。就是从那个呃。

zFish(00:00:12): 啊你现在开始啊，而且我是我是怎么怎么怎么进入这个行业的。一开始我其实也是做技术的，啊因为各种原因，然后。呃听到了一个国企，这个国企呢就是。

zFish(00:00:27): 呃说是做技术，实际上做跟技术毫无关系啊。我感觉我几天都在习惯的Excel ppt，然后然后我就一直在想，这个游戏赚的太少了。

随风(00:00:36): 嗯。

zFish(00:00:39): 因为真的很少，赚的钱少了，我已经不想再说我当时一个月赚多少钱，然后呃所以我所以我就因为某个原因然后去搞投资去了，然后就去认识了一些做投资的人啊，然后之后去设置去。

随风(00:00:40): 嗯嗯嗯嗯。

zFish(00:00:56): 呃开了一个公司，跟合伙，然后去做那个金融投资。

zFish(00:01:02): 然后我们有些客户，一开始我们经验也也是也也不是很丰富。很丰富啊另外一个人经验会丰富一些。但事实证明就是说不管你经验怎么丰富，在足够。

zFish(00:01:15): 足够，呃这风从整个二级市场里面是有很多你想象不来的给你写的。比如说你经历过零八年的这个这个牛市啊给我们我们为了为了让大家更真实的看到这个这个这个情况，我去找一个A股市场的这个配穴图，那个叫啥沙镇支付，赶紧指出。我我不知道看，一下T，学徒你说这个说起来会会好点在我这个垃圾大使还能凑呵，你说乐可乐可说起也可以说起，这个是上面那个图那个周期倒啊。这个应该可以看得比较清楚。就是说。

zFish(00:02:15): 如果我们只是从上证指数开始开始的话，005年开始一波牛市吧，零四年应该已经很惨了。因为当时我我。我当时应该念高中吧，所以说这段是没有经历过。但是有些人经历过。

zFish(00:02:33): 然后到那个一五年，从一三年开始开始接触投资，到一五年，然后又是一波牛市。然后这波野。也也也比较猛烈，然后跟上一波其实有呃很相近的一个一个趋势嘛。然后。

zFish(00:02:52): 啊我们从我从这边儿这个点儿应该开始研究。一开始是基金真的是玩的特别的少。然后逐渐逐渐的然后去到那个一五年左右，啊到14年十月底，就是到一五年应该是去做投资开个公司吧，然后在这个点儿。然后实际上我们当时已经有一部分客户资源。从那个一四年到一五年。然后这个这个这个这个亏钱是怎么亏的。按道理就是我们当时的团队组合。而是非常的这个长的一些银行的投资顾问。然后有一些那个做那个。

zFish(00:03:33): 金融的就是资金方面，然后有一些那个专业专业专业的人士，还有做股票。我记得当时我们认识一个人做股票做了有15年了吧。

zFish(00:03:44): 然后都在这个点进去，大家大家觉得这个这个这个时机特别好。我们的确摸清楚这个这个牛市的这个这个起点了，也刚好赶赶上了然后然后就然后就是你你在里面，然后。呃，我现在挂的可是这个月配啊。这一个月看起来真的是。

zFish(00:04:02): 呃真是没啥，但是你如果放大放大到这个日子，因为你因为你在里面每一天实际上都在接受这个这个这个涨跌呢然后今天涨明天跌。如果我们放大区看到。呃这个时间点就说到你真的回到了一屋里啊。

zFish(00:04:19): 会非常惊心动魄，这就是为什么事后回顾有时候没有任何卵用。因为一旦一旦你一旦你那个。

zFish(00:04:28): 轻声在在在里面接触，你如果换成一个月，可以看起来非常简单，啊就那么几根柱子，然后他就找到头了。但是这这如果变成ri k每天然后都是里面非常小的一个点，你在里面明显可以感感受到的涨跌涨跌涨跌涨跌让名师每天在怀疑怀疑怀疑自己然后这这这而且这。

zFish(00:04:52): 呃我我现在其实就是讲一些投资方面的一些难点，就是呃也在回顾，就是我们当时为什么会亏。那么多人上，里面也有很多专业玩家都在亏。然后呃大家。

zFish(00:05:07): 大家如果在里面的话，你会发现每一根小柱子都是一天儿一天。又是从早上九点半开始，到下午。

