zFish(00:00:00): 我点个木质。

zFish(00:00:14): 这次的会议是偏偏第二次会议。

zFish(00:00:21): 第一次会议大可以在正面看到，整个我计划每次会议都通过这个白板儿，然后去不断不断的扩展。然后这世上一次的，然后这次我们在这里。这，这里的话，根据上次的投票的话。大家都需要听一下，那个。就是技术赚钱吗，其实这个话题我也。

zFish(00:00:50): 我也不是很懂，所以所以所以这次通过这个workshop，就是说这个白板所有人都可以画，然后比如说我会在这里面，然后去。画一下，我知道这些途径，如果你们知道一些额外途径，你们也可以画，也可以讲。这样子方便大家了解一下。就是那个拔丝又叫是有人把他杀了吗。对。

zFish(00:01:26): 对这个这个这个大别杀，杀了以后我就得我得想办法把两个拼起来，要麻烦一些。

zFish(00:01:37): 就说这个版本大家在群里面都都收到了，然后直接划进去了。然后就说这个这个这个这个议题其实我也。我也不是很擅长，我只知道部分的然后实际过少数的，然后这个这个其实。

zFish(00:01:52): 一开始想主题定位怎么通过技术去赚钱。然后突然想之前我看到的国外友人让我搞了一个就是说有40多种方式，我看你美刀其实一米都比较容易。然后但是实际上。

zFish(00:02:08): 怎么转一米多，然后反而可以找到很多种方法，然后在这这么多种方法里面找一个你最擅长的，然后就说你最适合你的。然后不断的做下去就可以去赚钱了。然后我们我们我们探讨的就是说er怎么通过技术去赚取被动收入。就是说。

zFish(00:02:30): 通过少部分时间的投资，可以长期不断的去获取现金的。因为这与我们第一次会议里面提到的一点就是说，怎么一直有人在这便是傻绝了。

zFish(00:02:53): 如果你们要玩儿这个白板的话，你自己然后然后然后然后在这个网站里面直接去他自己乱随便玩儿就行。不要在这边。

zFish(00:03:02): 胡乱的就是操作这个版你可以在这边这个版里面去操作。因为因为这个白板的话他是本地存储的，所以你看到的是他把数据存在这个浏览器的local storage里面，然后你。

zFish(00:03:16): 你自己浏览器大多掌握同样的一个域名的话，你看到的只有自己的女友，别人看不到。除非你在这里面点一个那个共享。然后他通过服务端中转，然后通过后面这一个密钥去解密，所以所以是端到端加密的。然后你可以自己去玩，但是我在这个露露里面。然后大家可以不要再乱调整这个版了，看起来很诡异。我不知道这个谁家的，就说回到之前的这个话题。然后我们。

zFish(00:03:49): 我们怎么去赚取被动收入吗。然后然后这边mpi本来的意思就是说这个这个被动收入吗。然后。大家里面有很多人是做技术的，可能对那个价钱不是那么那么擅长。然后或者说是怎么通过业余时间然后花花少部分时间。然后去。

zFish(00:04:13): 赚取这个不断的这个现金流，然后最终可以通过投资，然后放大整个现金流的这个收益，然后可能会过上大家期望的一些目标啥的。这这是我整个。

zFish(00:04:26): 整个网站包括不断在在尝试的一个一个一个一个三部曲吧。就是说这个这个这个网站可能一开始跟大家介绍过，就是说下面可能是学习，然后中间是技术，上面是投资。我们通过各种学习方法，然后获取获取很多技能，然后这个技能然后比如说技术。

zFish(00:04:48): 它属于技能的一种，然后获取了些不断的现金流。然后你现金流之后通过投资杠杆，然后。

zFish(00:04:57): 然后获取到超额的收益，然后可能会会会达成你的各种人生目标啥的。这是一个理想的情况，但是做起来会非常的有难度。因为。正常的情况，就我们学校，我们公司不会希望你通过这种方法去做。也没有。我告诉你，可能有些人少部分人在十诫。然后那我们那我想摆脱不断上班的话，可能就需要通过这种。

zFish(00:05:23): 途径获取到年龄大的时候可以一些稳定的现金。所以所以我我我上面博客里面也一直在阐述这三个话题。

zFish(00:05:33): 我发现我一直有时候会在这边儿写，有时候会在基础里面去写，有时候会通过投资里面写。然后这个这个可能可能是是我在研究一个一个路线。

zFish(00:05:45): 那那第一次会议已经确定我们要去要去这个收入，比如说最终的目标。假设杨老师你的一个目标，你可以有非常多的目标。因为之前我在学习的一篇文章就家庭理财规划里面。

